procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  31884 108108  30560 631384    0    0    20     4  651  478 11 10 78  0  0
 0  0  31884 108108  30560 631388    0    0    24     4  472  427  6  8 86  0  0
 0  0  31884 108108  30560 631412    0    0    40     4  729  520  4 11 85  0  0
 0  0  31884 108108  30560 631412    0    0    20     4  269  446  7  3 90  0  0
 6  0  31884 104356  30576 631496    0    0    20   104  676 1136 17 14 68  0  0
 0  0  31884 104168  30576 631532    0    0    20     4  534  648  7  7 85  0  0
 0  0  31884 103916  30576 631536    0    0    20     4  630  491  6  8 86  0  0
 0  0  31884 103664  30584 631536    0    0    20    96  170  418  6  3 91  0  0
 0  0  31884 106240  30584 631536    0    0    20   452  840  555  9 16 75  0  0
 0  0  31884 105736  30584 631536    0    0    20     4  508  528  6 10 84  0  0
 0  0  31884 105736  30584 631540    0    0    20     4  169  366  4  3 93  0  0
 1  0  31884 105736  30584 631540    0    0    20     4  785  509  9 18 72  0  0
 0  0  31884 105736  30588 631536    0    0    20   112  789  511  8 12 79  1  0
 0  0  31884 105736  30588 631544    0    0    20   108  280  437  4  4 92  0  0
 0  0  31884 105736  30588 631548    0    0    20     4 1319  612  7 22 70  0  0
 0  0  31884 102272  30588 631452    0    0    20     4  834  950 13 20 67  0  0
 0  0  31884 102272  30588 631452    0    0    20     4  173  392  6  1 93  0  0
 0  0  31884 102272  30596 631448    0    0    20    68  601  450  4  7 89  0  0
 0  0  31884 106644  30596 631456    0    0    24     4  371  477  4  7 89  0  0
 0  0  31884 106896  30596 631452    0    0    20     4  318  431  9  1 90  0  0
 0  0  31884 106896  30596 631456    0    0    24     4  382  404  5  4 91  0  0
 0  0  31884 106896  30596 631456    0    0    20     4 1009  468  8 13 79  0  0
 0  0  31884 106896  30600 631464    0    0    20    56  471  435  5  4 91  0  0
 0  0  31884 106896  30600 631464    0    0    20     4  728  490  8 12 80  0  0
 0  0  31884 106644  30616 631468    0    0    20   184  573  530  7  9 84  0  0
 1  0  31884 106644  30616 631468    0    0    20     4  145  366  6  0 94  0  0
 0  0  31884 106392  30616 631472    0    0    20     4  903  513  6 12 82  0  0
 0  0  31884 106392  30616 631472    0    0    20     4  952  475  4 11 85  0  0
 0  0  31884 106392  30616 631472    0    0    20     4  164  379  4  2 94  0  0
 0  0  31884 106896  30624 631472    0    0    20   120  637  486  6  8 86  0  0
 0  0  31884 106896  30624 631480    0    0    20     4  483  463  9  9 81  0  0
 0  0  31884 106896  30624 631480    0    0    20     4  196  382  5  3 91  1  0
 1  0  31884 106896  30624 631480    0    0     0     0  602  356  4  7 89  0  0
 0  0  31884 106896  30624 631480    0    0    20     4  128  361  4  2 94  0  0
 0  0  31884 106896  30632 631488    0    0     0   560  498  362  2  4 94  0  0
 0  0  31884 106896  30632 631488    0    0    20     8  481  402  8  5 87  0  0
 0  0  31884 106896  30632 631484    0    0    20     4  511  417  3 10 87  0  0
 0  0  31884 106896  30632 631484    0    0    24     4  250  377  7  3 90  0  0
 0  0  31884 106896  30632 631488    0    0    24     4  251  403  3  3 94  0  0
 0  0  31884 106896  30640 631488    0    0    24   676  857  530  6 17 77  0  0
 0  0  31884 106896  30640 631492    0    0    24     4  179  356  9  1 90  0  0
 0  0  31884 107400  30640 631492    0    0    24     4 1694  823 14 41 46  0  0
